                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.4916,                 1.3902,                  1.536,                0.60784,                0.47763,                0.50477,                0.33737,                 1.2375,                 1.5936,                 1.4856,               0.007723,               0.007723,               0.007723
                     72,                 1.4779,                 1.3852,                 1.5352,                0.54047,                0.47259,                0.49793,                0.33973,                  1.261,                 1.7046,                 1.4977,                0.00769,                0.00769,                0.00769
                     73,                 1.4768,                 1.3854,                 1.5302,                0.57414,                0.46519,                 0.5027,                0.34447,                 1.2186,                 1.6889,                 1.4736,               0.007657,               0.007657,               0.007657
                     74,                 1.4843,                  1.392,                 1.5264,                0.60218,                0.48148,                 0.5188,                0.35086,                 1.2328,                 1.6146,                 1.4869,               0.007624,               0.007624,               0.007624
                     75,                 1.4995,                 1.3976,                 1.5269,                0.56689,                0.49481,                0.50836,                0.34521,                 1.2407,                 1.6671,                 1.4733,               0.007591,               0.007591,               0.007591
                     76,                 1.4898,                 1.3944,                  1.532,                0.54262,                 0.4963,                0.51175,                0.34773,                 1.2296,                 1.6493,                 1.4838,               0.007558,               0.007558,               0.007558
                     77,                 1.4904,                 1.4026,                 1.5292,                0.60619,                0.49037,                0.52371,                0.35671,                 1.2267,                 1.6003,                 1.4796,               0.007525,               0.007525,               0.007525
                     78,                 1.4819,                 1.3829,                 1.5247,                0.55883,                0.49481,                0.50931,                0.34643,                 1.2249,                 1.6391,                 1.4819,               0.007492,               0.007492,               0.007492
                     79,                 1.4823,                 1.3925,                 1.5246,                 0.5575,                0.51329,                0.51888,                0.35463,                 1.2223,                 1.6442,                 1.4629,               0.007459,               0.007459,               0.007459
                     80,                 1.4635,                 1.3736,                  1.515,                0.63993,                0.48973,                0.52295,                0.35682,                 1.2364,                 1.6331,                 1.4819,               0.007426,               0.007426,               0.007426
                     81,                 1.4835,                 1.3784,                 1.5241,                0.55729,                0.51556,                0.52392,                0.35581,                 1.2382,                 1.6144,                 1.4853,               0.007393,               0.007393,               0.007393
                     82,                 1.4816,                 1.3753,                 1.5216,                0.57212,                0.49926,                0.52316,                0.35867,                 1.2126,                 1.6094,                 1.4549,                0.00736,                0.00736,                0.00736
                     83,                 1.4837,                  1.381,                 1.5204,                0.58322,                0.45926,                 0.4995,                 0.3441,                 1.2111,                 1.6623,                 1.4442,               0.007327,               0.007327,               0.007327
                     84,                  1.476,                 1.3543,                 1.5186,                0.60965,                0.47407,                0.51204,                0.35171,                 1.2284,                 1.6425,                 1.4574,               0.007294,               0.007294,               0.007294
                     85,                 1.4638,                 1.3516,                 1.5082,                 0.5705,                0.49778,                0.51176,                0.35063,                 1.2253,                 1.6062,                 1.4588,               0.007261,               0.007261,               0.007261
                     86,                 1.4694,                  1.345,                 1.5074,                 0.6072,                   0.48,                0.51035,                0.35254,                 1.2121,                 1.6164,                 1.4565,               0.007228,               0.007228,               0.007228
                     87,                 1.4679,                 1.3422,                  1.511,                0.58116,                0.49745,                0.51378,                0.35381,                 1.2074,                 1.6372,                 1.4586,               0.007195,               0.007195,               0.007195
                     88,                 1.4564,                 1.3414,                 1.5089,                0.60111,                 0.5037,                0.53073,                0.36865,                 1.2124,                 1.5557,                 1.4591,               0.007162,               0.007162,               0.007162
                     89,                 1.4624,                 1.3443,                 1.4981,                0.62758,                0.47933,                0.53132,                0.36861,                 1.2189,                 1.5883,                 1.4587,               0.007129,               0.007129,               0.007129
                     90,                 1.4517,                 1.3345,                 1.5098,                0.59497,                0.48889,                0.52201,                0.36227,                 1.2042,                 1.6136,                 1.4472,               0.007096,               0.007096,               0.007096
                     91,                  1.457,                 1.3324,                 1.5025,                0.59255,                0.49185,                0.50907,                0.34982,                 1.2177,                 1.6429,                 1.4563,               0.007063,               0.007063,               0.007063
                     92,                  1.461,                 1.3434,                 1.5018,                0.57375,                0.50074,                0.51887,                0.36075,                  1.191,                 1.6001,                 1.4419,                0.00703,                0.00703,                0.00703
                     93,                  1.448,                 1.3348,                 1.5037,                0.58101,                0.50331,                0.51604,                0.36129,                  1.187,                 1.6102,                 1.4349,               0.006997,               0.006997,               0.006997
                     94,                 1.4506,                 1.3188,                 1.4946,                0.57668,                0.52473,                 0.5297,                0.36478,                 1.2017,                 1.5541,                 1.4417,               0.006964,               0.006964,               0.006964
                     95,                 1.4503,                 1.3334,                 1.4908,                0.57537,                0.51704,                0.52515,                0.36392,                 1.1969,                 1.5674,                 1.4389,               0.006931,               0.006931,               0.006931
                     96,                 1.4461,                 1.3338,                 1.4886,                0.61184,                0.49926,                0.53536,                0.37103,                 1.2022,                 1.5726,                 1.4387,               0.006898,               0.006898,               0.006898
                     97,                 1.4476,                 1.3286,                 1.4891,                0.62175,                0.52296,                0.53942,                0.37597,                 1.2028,                  1.537,                 1.4432,               0.006865,               0.006865,               0.006865
